comuna;pop;n_07_04;tasa;incidencia
Alhué;7405;-;-;-
Colina;180353;50;1,56;27,7
Conchalí;139195;32;-;23,0
Curacaví;36430;8;-;22,0
El Bosque;172000;37;-;21,5
El Monte;40014;5;-;12,5
Estación Central;206792;36;-;17,4
Huechuraba;112528;32;-;28,4
Independencia;142065;26;-;18,3
Isla de Maipo;40171;4;-;10,0
La Cisterna;100434;20;-;19,9
La Florida;402433;91;2,12;22,6
La Granja;122557;24;-;19,6
La Pintana;189335;18;-;9,5
La Reina;100252;35;1,46;34,9
Lampa;126898;14;-;11,0
Las Condes;330759;258;1,43;78,0
Lo Barnechea;124076;97;1,43;78,2
Lo Espejo;103865;15;-;14,4
Lo Prado;104403;25;-;23,9
Macul;134635;34;-;25,3
Maipú;578605;83;1,93;14,3
María Pinto;14926;-;-;-
Melipilla;141612;11;-;7,8
Ñuñoa;250192;107;1,60;42,8
Padre Hurtado;74188;16;-;21,6
Paine;82766;3;-;3,6
Pedro Aguirre Cerda;107803;16;-;14,8
Peñaflor;101058;18;-;17,8
Peñalolén;266798;65;2,10;24,4
Pirque;30433;4;-;13,1
Providencia;157749;104;1,27;65,9
Pudahuel;253139;44;-;17,4
Puente Alto;645909;119;2,64;18,4
Quilicura;254694;51;-;20,0
Quinta Normal;136368;41;1,95;30,1
Recoleta;190075;44;-;23,1
Renca;160847;19;-;11,8
San Bernardo;334836;74;2,31;22,1
San Joaquín;103485;36;-;34,8
San José de Maipo;18644;3;-;16,1
San Miguel;133059;49;1,96;36,8
San Pedro;11953;-;-;-
San Ramón;86510;9;-;10,4
Santiago;503147;234;1,84;46,5
Talagante;81838;11;-;13,4
Tiltil;21477;3;-;14,0
Vitacura;96774;114;1,37;117,8
